logAge,Mass,Umag,Bmag,Vmag,Rmag,Imag,B-V,V-I
7.2,10.459,-4.296,-3.343,-3.109,-2.999,-2.853,-0.23399999999999999,-0.2559999999999998
7.2,10.735,-4.435,-3.48,-3.246,-3.136,-2.99,-0.23399999999999999,-0.2559999999999998
7.2,10.967,-4.559,-3.603,-3.37,-3.26,-3.115,-0.2330000000000001,-0.2549999999999999
7.2,11.014,-4.586,-3.629,-3.396,-3.287,-3.142,-0.2330000000000001,-0.254
7.2,11.083,-4.623,-3.667,-3.433,-3.324,-3.179,-0.23399999999999999,-0.254
7.2,11.311,-4.748,-3.793,-3.561,-3.453,-3.308,-0.2320000000000002,-0.2530000000000001
7.2,11.577,-4.904,-3.954,-3.723,-3.616,-3.473,-0.23100000000000032,-0.25
7.2,11.798,-5.044,-4.101,-3.872,-3.767,-3.626,-0.2290000000000001,-0.246
7.2,12.005,-5.183,-4.249,-4.022,-3.919,-3.78,-0.22699999999999942,-0.24200000000000044
7.2,12.008,-5.185,-4.251,-4.025,-3.922,-3.783,-0.22599999999999998,-0.24200000000000044
7.2,12.065,-5.224,-4.292,-4.067,-3.964,-3.826,-0.22499999999999964,-0.2410000000000001
7.2,12.188,-5.316,-4.391,-4.168,-4.067,-3.931,-0.22299999999999986,-0.2370000000000001
7.2,12.294,-5.402,-4.484,-4.264,-4.165,-4.031,-0.21999999999999975,-0.23300000000000054
7.2,12.4,-5.492,-4.58,-4.362,-4.265,-4.133,-0.21799999999999997,-0.2290000000000001
7.2,12.515,-5.59,-4.685,-4.469,-4.374,-4.244,-0.2159999999999993,-0.22500000000000053
7.2,12.548,-5.603,-4.69,-4.473,-4.376,-4.245,-0.21700000000000053,-0.22799999999999976
7.2,12.583,-5.608,-4.681,-4.461,-4.363,-4.23,-0.21999999999999975,-0.23099999999999987
7.2,12.594,-5.596,-4.656,-4.433,-4.332,-4.196,-0.22299999999999986,-0.2370000000000001
7.2,12.6,-5.584,-4.625,-4.398,-4.295,-4.155,-0.2270000000000003,-0.24299999999999944
7.2,12.602,-5.585,-4.612,-4.381,-4.276,-4.134,-0.23099999999999987,-0.2469999999999999
